State,Name,Location
Abuja (FCT),Tolbert Specialist Hospital,No  17 Democracy Crescent Gaduwa Estate Abuja Nigeria
Abuja (FCT),GUINEA SAVANNAH MEDICAL CENTRE,Garki 2
Abuja (FCT),Fereprod Medical Centre,"OBBO CRESCENT, OFF AHMADU BELLO WAY GARKI"
Abuja (FCT),Angelic Care Hospital,GARKI
Abuja (FCT),ST MARYS CATHOLIC HOSPITAL,Gwagwalada
Abuja (FCT),Medimax Hospital,Garki
Abuja (FCT),The Peake Specialist Hospital (Salama Infirmary),"NO 24, 64 CRESCENT, OFF CHARLY BOY BOULEVARD, GWARIMPA"
Abuja (FCT),Arewa Specialist Hospital,Jabi
Adamawa,Newboshang Hospital,Yola
Anambra,Toronto Hospital,Onitsha
Bayelsa,GLORYLAND-I.N.R.I. MEDICAL CENTRE,Yenogoa
Bayelsa,Tobis Clinic and Consultants,"KM 14, CHIEF MELFORD OKILO ROAD,AKENFA, YENAGOABAYELSA STATE"
Delta,Liberal clinic,Sapele
Delta,Sage Clinic,"29,OKERE/ UGBORIKOKO ROAD WARRI, DELTA"
Delta,Fairview Hospital,Warri south/warri
Ekiti,MATERNAL AND CHILD SPECIALIST CLINICS,"Block 1,2,3, Adebayo Estate, Former UNAD Health Centre, Adebayo, Iworoko Road,(Beside SLOT shop). @ Behind Immigration Office,off Polytecnic Road Ado-Ekiti"
Ekiti,ADE-TADE HOSPITAL,"55, OKEBOLA STREET"
Abuja (FCT),Softshell Specialist Hospital,KUBWA
Lagos,Rem-Yems Hospital ltd,Alagbado
Lagos,Mayriamville Medical center,"144, Bode Thomas , surulere , Lagos"
Kaduna,Almadina Hospital,"28 QUEEN ELIZABETH ROAD, GRA ZARIA"
Kaduna,Salama Infirmary (Hospital & Maternity),"2,SOKOTO ROAD, KWANGLA JUNCTION"
Kaduna,Chasel Hospital,"15A, Isa kaita Road, Kaduna"
Kaduna,Harmony Hospital-KADUNA,"74. Narayi road, opposite space 2000  BARNAWA GRA KADUNA"
Kaduna,Horeb Specialist Hospital Ltd.,"MD 7/8, AHMED ROAD, (BEHIND POWA SHOPPING COMPLEX) OFF CONSTITUTION ROAD, KADUNA."
Katsina,"Federal Teaching Hospital, Katsina",Katsina
Katsina,K-Dara Specialist Hospital Katsina,Katsina
Kogi,"Niger Hospital, Lokoja",Lokoja
Kwara,Adeyemo Hospital,Omu-Aran
Niger,Top Medical Centre,Tunga
Ogun,First Alpha Medical Centre,"11-13,KUFORIJI - OLUBI DRIVE, ADIGBE, ABEOKUTA"
Ogun,Itunu Hospital,Abeokuta
Ogun,O and A Medical centre Ltd.,Abeokuta South
Ogun,Balda Hospital,Akute
Ogun,Kingsmith Hospital & Maternity,12 OJODU BERGER STREET AKUTE
Ogun,Comfort Clinic and Maternity,"3, Ganiyu Ayinla street, off celestial avenue, Ereko quaters , Ibafo, ogun state"
Ogun,Amazing Grace Clinic- ijebu ode,"NO 7 ILORO STREET,OFF NEW ROAD,IJEBU ODE"
Ogun,Olu-Ola Hospital,"NO 12B ODEOGBO STREET,IJEBU ODE"
Ogun,Abundant Life Hospital Ltd.,Ijebu-ode
Ogun,Beachland Specialist Hospital,"16, AL-FRIDAUS ESTATE, AREPO. OFF LAGOS-IBADAN EXPRESS WAY, OGUN STATE."
Oyo,The Redeemers Health Centre-ogun state,Redemption camp
Ogun,Promise Medical Centre-sango,Sango-Ota
Ogun,El- Bethel Medical centre- Ogun,"31 dantajira street, sabo , sagamu , ogun state"
Ogun,Imperial Specialist Hospital,Sagamu
Ogun,Owokoniran Memorial Hospital,"3, Owokoniran Street, Station Makun, Sagamu, Ogun State"
Ogun,Alpha Clinic,Sagamu
Ogun,MEDYTOP SPECIALIST HOSPITAL,Sagamu
Oyo,Ireti Oluwa Hospital,"sawmill Area, Apake, Ogbomoso"
Oyo,Shalom Medical Centre,"Sabo Area, Ogbomoso"
Ondo,Christ Hospital,Owo
Rivers,Atinu Critical Care Hospital,Port-harcourt
Rivers,Cumi Medical Centre,"2, LIFT UP CLOSE, OFF EZEGBAKAGBAKA ROAD, WOJI, PORT HARCOURT, RIVERS."
Rivers,Green Care Medical Consultants,Port-harcourt
Rivers,Ofure Specialist,Port-harcourt
Rivers,Rehoboth Specialist Hospital- Port Harcourt,"2, WINNERS WAY, OFF AFAM STREET, D/LINE, PORT HARCOURT, RIVERS."
Rivers,Hilton Clinics,"2 EJIKWU WIKE CLOSE, OFF ADA GEORGE  BY WHIMPEY, ROAD, MILE 4, PORT HARCOURT."
Akwa Ibom,Samaritan Clinic/ Hospital,"7 EKONG UKO STREET, EKET"
Akwa Ibom,Cozar Specialist Hospital,"No. 6 Main School Road, Off Hospital Road, Eket"
Akwa Ibom,Domingo Specialist Hospital,"PLOT 9, UNIT E, BEN UDOH STR, EWET HOUSING ESTATE"
Akwa Ibom,Jeconiah Specialist Hospital,Uyo
Akwa Ibom,Unwanna Family Hospital,Uyo
Akwa Ibom,SAN DOMINIQUE HOSPITAL,Uyo
Akwa Ibom,NEDEKE CHILDRENS HOSPITAL,Uyo
Akwa Ibom,MFON ABASI MEDICAL CENTER,Uyo
Akwa Ibom,Majesty Hospital,"60, Wellington Bassey Way Uyo"
Akwa Ibom,Mount Olive Clinic and Maternity,Uyo
Akwa Ibom,Mainland Clinic And Hospital,Uyo
Akwa Ibom,Peace Medical Centre( UYO),Uyo
Rivers,Heroeland Specialist Hospital,"17 UNITY AVENUE  RUMUOKWUTA, BY PIN PLACE, NTA ROAD"
Rivers,Life Forte Specialist Hospital,"3 ORLU-WOSU STREET, OFF UOE ROAD, RUMUOLUMENI, PORT HARCOURT, RIVERS STATE"
Oyo,Momoh Memorial Hospital,"Idi Ope Aketan Baale, Oyo, Oyo State"
Oyo,Peamak Hospital and Maternity Centre,"Alalubosa Road, Oyo"
Akwa Ibom,Premier Medical Services,3 HIGH TENSION LANE
Akwa Ibom,ST. ATHANASIUS HOSPITAL LIMITED,Uyo
Cross River,Bakor Medical centre,"Calabar Municipality, Calabar. Cross River State"
Cross River,Arubah Specialist Hospital- isang iso,Calabar
Cross River,Goldie Clinic,Calabar
Cross River,Mambo Clinic Maternity and Diagnostics,12 ATAMUNU STREET CALABAR LGA
Cross River,Faith Foundation Specialist Clinic,"57, NDIDEM USANG ISO RD"
Cross River,Immanuel Infirmary,"1, ASSEMBLIES OF GOD RD, ARMY JUNCTION, IKOT EFFANG"
Edo,Faith Mediplex,Benin
Edo,Mount Gilead Hospital,Benin
Abuja (FCT),ZAMAN CLINIC & MATERITY LTD,"25, BABANGIDA ROAD, PHASE 1, FHA LUGBE, ABUJA."
Edo,Tona Hospital,Benin
Edo,Edi International Hospital,"1, CORONATION DRIVE, OFF AIDEYAN RD, GRA"
Edo,Ise Clinic & Maternity,"41, Textile Mill Road, Benin"
Edo,Life Medical Centre (Life Hospital),Benin
Edo,Oreste Medical Centre,Benin
Edo,Osula Royal Hospital,Benin
Edo,The Rock Hospital,Benin
Edo,St Philomena Catholic Hospital,"23 Dawson Rd, Avbiama 300271, Benin City"
Edo,Ekpen Hospital,Benin
Edo,Lily Hospital-BENIN,"17 Edo-Osagie St, Ogogugbo, Benin City"
Edo,Irele Ifijeh Hospital Limited,"22, Lucky Way, Benin"
Cross River,Arubah Specialist Hospital- Unical Road,Calabar
Oyo,Baptist Medical Centre,Saki
Ondo,Blue Print Specialist Clinic,"3 Falodun Avenue, Oke Ogun, Owo"
Benue,Benonil Hospital,"7, ZION STREET, WURUKUM, MAKURDI"
Benue,Madonna Health Services Limited,"BEHIND UNION BANK PLC,NEW BRIDGE OTUKPO ROAD,BENUE STATE"
Rivers,Princess Medical Center(Signature),No 5 Ndabros street Nkpogu Transamadi
Rivers,Shield Specialist Hospital Limited,"Plot4, Close D, Peace Valley Estate Transwoji Portharcourt"
Benue,First Fertility Hospital,Makurdi
Oyo,"The Pizzaz Hospital, Ibadan","along Lagos-Ibadan Bye-pass, Challenge Expressway"
Lagos,Lennox Hospital,Ajah
Lagos,NIDUS AQUILAE HOSPITAL,Ilupeju
Lagos,Everlife Hospital,Agbara
Abuja (FCT),PROCARE HOSPITAL,"SALIHU ILLIYASU STREET, LIFE CAMP"
Ogun,ANGEL & EAGLE SPECIALIST HOSPITAL,Ibara
Lagos,LUSCENT HOSPITAL,Lekki
Ogun,ACE MEDICARE CLINICS- Ota,Otta
Lagos,Palmville Hospital,"10 Mulikat Onisiwo Street, Igbo Oluwo Estate Jumofak Bus Stop, Ikorodu, Lagos"
Bauchi,REEMEE MEDICARE,Bauchi
Lagos,Cares and Cares Hospital ltd,Ojo-Okokomaiko
Rivers,Springs Medical Services Portharcourt,"458 IKWERRE ROAD,KALA B/STOP,RUMEPIRIKOM,P/HARCOURT"
Rivers,Garland Hospital,Port-harcourt
Rivers,Sterling Specialist Clinic,5 King Jaja Street Portharcourt
Taraba,Gateway Hospital,Jalingo
Rivers,Oasis specialist hospital-Port Harcourt.,"plot 1,block 2 ,Federal Housing Estate, Rumuodumanya"
Lagos,Mother Teresa Medical Centre,Ikotun -idimu
Lagos,Cri Medi Clinic- VGC,Lekki-Ajah
Lagos,AL-SADIQ HOSPITAL,Ketu
Lagos,Mazaf Medical Centre,"8 Macaulay street, mushin"
Lagos,St. Doris Memorial Hospital,9 Agbekolade Street Odi-olowo mushin
Rivers,Adanta Children Hospital,Port-harcourt
Imo,"IKENEGBU HOSPITAL, MATERNITY AND LABORATORY","PLOTS 11/13 PAT AMADI CRESCENT OFF OKIGWE ROAD LAYOUT, OWERRI"
Lagos,Critical Rescue International (CRI Medi clinic)-IKEJA,Ikeja
Rivers,Castle Clinic,Port-harcourt
Oyo,Gods Knot Hospital,"opposite dehass filing station, ologun eru, iyana kerin,ibadan oyo."
Lagos,Utmost care Hospital,Lakowe
Rivers,Magnum Nuvon  Medical Centre,Port-harcourt
Rivers,Shiloh Medical Care,Port-harcourt
Imo,SALVATION HOSPITAL- OWERRI,"38, MCC/URATTA ROAD"
Imo,FIRST CONCEPTS HOSPITAL,"Plot 111 ohaji by ihechuwa street, off MCC road owerri near Chukwuma  Nwaoha junction, behind St  John's lab."
Imo,Capital Health Hospital,"Plot 156A Hill -Top layout[along Spanish Kingdom Avenue],behind DANGOTE CEMENT DEPOT, ONITSHA ROAD, OWERRI."
Rivers,Cova Care Specialist Hospital and Endoscopy Centre,"No 8 Main Street, off Farm Road 2 G.U AKE Road Eliozu"
Rivers,NOXFORD HOSPITAL LIMITED,Port-harcourt
Rivers,ANSETT DIAGNOSTIC HOSPITAL LTD,"9 New Layout Drive , Oginigba, Trans-amadi"
Enugu,Royal Hospital,ENUGU
Enugu,Mount Carmel Hospital,"119 CHIME AVENUE NEW-HAVEN, ENUGU, ENUGU STATE"
Enugu,ANNUNCIATION SPECIALIST HOSPITAL,Enugu
Enugu,ST GABRIEL’S SPECIALIST HOSPITAL,Enugu
Enugu,Aickon Specialist Hospital (O&G Major),Enugu
Enugu,Akulue Memorial Hospital,"16/18 Akulue Road, Onuakachi Onuiyi"
Enugu,Niger Foundation Hospital,"5 PRESIDENTIAL CLOSE, INDEPENDENCE LAYOUT, ENUGU"
Abia,Springs Clinic,Aba
Abia,Rosevine Hospital,"1 SHALOM WAY OFF 70 ABA-OWERRI ROAD, ABA"
Abia,Ivory Hospital Limited,Aba
Abia,Simeone Specialist Hospital,Aba
Abia,Horstman Hospital,Aba
Abia,Romalex Hospital,Aba
Abia,Healing Cross Hospital,Umuahia
Abia,New Era Hospital Umuahia,"90B, Oji River Street off uwalaka by niger road,Umuahia"
Abia,St. Vincent Hospital,Umuahia
Abia,Maranatha Hospital,Umuahia
Lagos,United Heart Hospital and clinics Ltd,Victoria-Island
Cross River,Peace Medical Centre ( CALABAR),Calabar
Cross River,Mevon Specialist Hospital,"30,Akim Road, Calabar"
Cross River,Testimony Medical Consultants,Calabar
Rivers,HEALTH WISE HOSPITAL,Port-harcourt
Abuja (FCT),MEDFORD HOSPITAL LTD,"PLOT A144 KATAMPE ROAD MPAPE, beside ITV"
Abuja (FCT),THOMAS DAVID HOSPITAL AND MATERNITY,Lugbe
Abuja (FCT),MARY FRANCIS HOSPITAL,"NO. AREA 1K, ROAD 4,SECTOR F, CAR WASH, FHA, LUGBE"
Abuja (FCT),CHARITOS BO HOSPITAL,"Plot D22, Aco Estate, Opposite Godab Estate, life camp, Abuja, FCT, Nigeria"
Plateau,Federal Low cost Clinic,Jos
Lagos,Azygus Hospital & Maternity- Agbado,Agbado
Lagos,Funbi Medical Centre,Lagos- Abeokuta expressway
Lagos,Today Medicare,"37, owolabi omotoye street, off old ipaja road, iyana orile b/s agege"
Lagos,New Merit Hospital,Agege
Lagos,St. Monica's Hospital,Ayobo
Lagos,Evanson Medical Centre,Ifako ijaiye
Lagos,Iyalode Bisoye Tejuoso Hospital,"20/22 ilupeju byepass,ilupeju"
Lagos,Vigor Hospitals,Abijo
Lagos,Mother And Child Hospital- IKEJA,Ikeja
Lagos,Inton Paediatric Hospital,Ogba
Ogun,Broadland Hospital,Magboro
Lagos,Faith City Hospital- V/I,Victoria-Island
Lagos,Barnes Hospital,Victoria-Island
Lagos,St Everest Hospital,"3, Fatima Bintu Street, Sholebo Estate, Off Ebute- Igbogbo Expressroad, Ikorodu,"
Yobe,CITY MEDICAL CENTRE,DAMATURU
Enugu,GRESTIN CENTRE LTD,"Mt Carmel Hospital road, Enugu"
Ebonyi,St Theresa's Hospital and Maternity,18 Jemeni Street
Ebonyi,"GENESIS EAR ,NOSE AND THROAT CLINIC/GENERAL",Abakaliki
Ebonyi,CHRIST THE KING HOSPITAL,Abakaliki
Rivers,MORNING STAR HOSPITAL,19/21 Isiokpo  Street Dline
Rivers,BETHESDA FAMILY HOSPITAL,Port-harcourt
Rivers,MORNING STAR HOSPITAL ( ONNE ),95 Harbour Road
Rivers,Mina's Urological /Specialist Hospital,"House 25, Road 6, Freedom Estate off Sars Road"
Rivers,WESTHILL HOSPITAL,4 Wogu street Dline
Jigawa,ALBARKA CLINICS,"BEHIND INUWA DUTSE ESTATE,DUTSE"
Yobe,AJIKO MEDICAL CENTRE,DAMATURU
Yobe,POTISKUM  MEDICAL CENTRE,POTISKUM
Abuja (FCT),SANA CLINICS,"17 Madakiya Crescent, APO,  Abuja"
Rivers,Platinum premier Medical Center,Port-harcourt
Rivers,ONNE MEDICAL CENTER,Port-harcourt
Rivers,Rivportals Hospital,Agbeta Road opp Seven Day Adventist Onne
Rivers,HEALTHBRIDGE MEDICAL CONSULTANTS,Flat 1/A-B Abacha Road GRA Phase 3
Abuja (FCT),EVERLASTINGCARE HOSPITAL,"31, FIRST AVENUE, KADO ESTATE"
Rivers,NOBSAMS HOSPITAL,44 Trans-amadi Oginigba
Abuja (FCT),STEDMED SPECIALIST HOSPITAL,Karu
Abuja (FCT),SAFFRON HOSPITAL,NYANYA
Rivers,GOSHEN CLINIC,Port-harcourt
Abuja (FCT),MAYDAY SPECIALIST HOSPITAL AND MATERNITY,MARABA
Abuja (FCT),FRESH SPRING HOSPITAL,"No. 3 Yauri Crescent , off Jere Street, GARKI 2, ABUJA"
Abuja (FCT),SUMIT HOSPITAL,"Along Kogo 1 road, Bwari"
Abuja (FCT),FAMILYCARE 360 MULTICLINICS,GARKI
Abuja (FCT),GARNETCARE MEDICAL CENTRE,DAKWO
Abuja (FCT),JA EAGLE HOSPITAL,GWAGWALADA
Abuja (FCT),FIRST HOSPITAL AND MATERNITY LTD,JIKWOYI
Lagos,Father John Burke Hospital,"inside st. Ferdinand catholic church , boys town , Ipaja"
Rivers,AMAZING GRACE CLINIC,Port-harcourt
Lagos,Hartwell Hospital,Victoria-Island
Abuja (FCT),DE - MARYS CENTRAL HOSPITAL,"FHA, AFTER BABY LOVE SCHOOL, LUGBE"
Anambra,BEX MEMORIAL HOSPITAL,Onitsha
Anambra,RUSH GREEN HOSPITAL AND MATERNITY,Onitsha
Anambra,SEFTON SPECIALIST MEDICAL CENTRE,Awka
Anambra,ROCK FOUNDATION HOSPITAL,Awka
Anambra,BEACON HOSPITAL AND MATERNITY,10 Beacon Hospital street behind fidelity bank off enugu -onitsha express
Anambra,REGINA CAELI  SPECIALIST HOSPITAL AND MATERNITY,17 Regina Caeli Road
Lagos,X-Serve children's Hospital,"3  Godwin Okigbo street , masha, surulere ."
Anambra,ROCKVILLE HOSPITALS,10 Allen Street  ONITSHA
Rivers,DANFERD SPECIALIST HOSPITAL,Port-harcourt
Rivers,OLIVET CLINIC,Port-harcourt
Rivers,ATLANTIC MEDICAL CENTRE,76C EMEKUKU STREET DLINE
Rivers,WELLNESS HOSPITALS AND DIAGNOSTICS LIMITED,Adjacent Chicken Republic Elelenwo/Akpajor
Abuja (FCT),MEV SPECIALIST HOSPITAL,WUSE 2
Rivers,ASHFORD & PATRICE CLINIC LTD,Port-harcourt
Lagos,Geo-Marie Hospital,"35, Adepegba street, abule -egba, Agege"
Rivers,ST. MARTINS HOSPITAL,62 Stadium road
Abuja (FCT),QUEENS SPECIALIST HOSPITAL- ABUJA,"PLOT 224 MARTIN EJEMBI CRESCENT, DANKOLI JUNCTION, BY SHOPRITE, APO, ABUJA"
Rivers,ZITADEL MEDICALS AND DIAGNOSTICS( RIVERS),Port-harcourt
Rivers,EBONY  HOSPITAL,RUMUOLA
Lagos,Dasochris Hospital,Ikorodu
Rivers,SOPHIKE MEDICAL CENTRE,"Plot 9 Road 7 Federal Housing Estate off Peter Odili Road, Transamadi"
Lagos,GCEM Hospital,"47, Moleye street, off hughes avenue , Alagomeji b/stop, yaba"
Lagos,Regis and Reina Hospital,Yaba
Abuja (FCT),HOSPIMED CLINICS AND CHILDREN HOSPITAL,"PLOT 1294, BAMANGA TUKUR STREET, OFF ADESOJI ADEREMI STREET, GUDU, ABUJA"
Lagos,HighRocks Fetal Medicine and Genetic Diagnosis Centre- Lekki,Lekki
Lagos,Ilogbo Central Hospital,Ojo
Lagos,Bob Specialist Hospital,"22 OLUGBEDE STREET, OFF ORELOPE STREET, EGBEDA"
Cross River,Mt Zion Hospital,28B YELLOW DUKE STREET CALABAR
Lagos,Hovas Place Hospital,Festac-Town
Lagos,Mother Mary Hospital,"17 Ganiyu Sogunle St, Isaga Tedo,isolo, Lagos"
Lagos,Magodo Specialist Hospital,Magodo
Abuja (FCT),RESUSCITATE HOSPITAL,Gwagwalada
Ogun,Oladayo Medical Centre,Ogijo
Plateau,BINGHAM UNIVERSITY TEACHING HOSPITAL,"23, Zaria Bypass, Jos"
Oyo,St Macrina Hospital,Ibadan
Ogun,Mercy Group Clinics,Abeokuta
Lagos,The Peak-Mark Clinic,Akoka
Rivers,ST. HARRISON HOSPITAL,Port-harcourt
Lagos,Strategic Insight Healthcare (The Hospital),"""21,RAJI OLADIMEJI CRECENT,BESIDE PML FILLING STATION,OFF CMD ROAD MAGODO PHASE 2."
Lagos,Standard Life Care Hospital,"6, Oreniwon street off Agbe Road, Abule Egba"
Lagos,P & G MEDICAL CENTRE,ABULE EGBA
Lagos,Ola-Oki Medical Center,Badagry 
Niger,STANDARD HOSPITAL,Minna
Kaduna,ASHMED SPECIALIST HOSPITAL,Kaduna South
Lagos,GreenLife Hospital - Festac,Festac-Town
Lagos,GreenLife Hospital - Okota,Okota
Ondo,New day Medical Centre- Akure,"9,Owo Avenue Ijapo Estate , Akure, Ondo state"
Abuja (FCT),E - CLINIC OUTPATIENT UNIT (OPD),WUSE 2
Kaduna,NEW ERA HOSPITAL,Kafanchan
Kano,RELIANCE CLINIC AND MATERNITY,"237, TUNDUN MALIKI, OFF ZOO ROAD, KANO"
Abuja (FCT),ST RAPHAEL CHILDRENS HOSPITAL,"NO. 1, 69 ROAD, OFF 6TH AVENUE, ADKAN ESTATE, GWARINPA, ABUJA"
Benue,SANDRA HOSPITAL,"NO. 24, J.S TARKA WAY, BARRACKS ROAD, MAKURDI, BENUE STATE"
Rivers,STEVENSON MEDICARE HOSPITAL,28 IWOWARI AVENUE BY AEROPLANE DRIVE TRANSAMADI
Rivers,RIDCOL HOSPITAL (IGWURUTA),Port-harcourt
Rivers,RIDCOL HOSPITAL (DLINE),26 EMEKUKU STREET DLINE
Lagos,Renue Clinic,5TH AVENUE R CLOSE HOUSE 1 FESTAC TOWN LAGOS
Rivers,DE-ROCA MISSION HOSPITAL,Port-harcourt
Niger,BAY SPECIALIST HOSPITAL,"Plot 33 Tundun Wada ,Bay clinic road tunga minna"
Plateau,MAY HOSPITAL - SHENDAM,SHENDAM
Lagos,QuickCare Clinics  (by CRI),Idimu
Lagos,Mount Pisgah Hospital,Ikotun
Rivers,FIRST DOMINION MANDATE HOSPITAL,OMPADEC ROAD OFF AIRPORT OMUNOBO IGWURUTA
Rivers,MUJE CLINIC LTD,"Obio/akpor LGA,PORT HARCOURT"
Rivers,ST.JUDE MEDICAL CLINIC,Port-harcourt
Rivers,DOCTORS MEDIVILLE HOSPITAL,"4 CHIEF EJIMS STREET RUMUOMASI, PORT HARCOURT"
Lagos,INLAND SPECIALIST HOSPITAL- OGUDU,"153, Ogudu road, Ogudu, Lagos State"
Lagos,Reliance Family Clinics (RFC) - Gbagada,Gbagada
Gombe,SABANA SPECIALIST HOSPITAL,Gombe
Rivers,ST MARGT CLINICAL SERVICES,"2 BENSON STREET MGBUOSIMINI ,RUMUEME AGIP"
Lagos,Krystal Medical Centre,"15A, Emmanuel Keshi, Magodo, Lagos"
Lagos,Bridge Medicentre- Isolo,Mushin
Lagos,Micel Hospital,"4, Brown Street Soluyi, Gbagada"
Lagos,Dunia hospital,Agege
Lagos,SYD MONIC Hospital,"AGO PALACE WAY, OKOTA, ISOLO"
Abuja (FCT),LIFE POINT MEDICAL CENTRE - UTAKO,Utako
Abuja (FCT),LIFE POINT MEDICAL CENTRE - MPAPE,MPAPE
Nasarawa,LIFE POINT MEDICAL CENTRE - MARABA,MARABA
Borno,ABBOTT CLINIC,"18, DAMATURU ROAD, BIU, BORNO STATE"
Lagos,Prince of Peace Hospital- somolu,Shomolu
Lagos,Living Spring Hospital,Alimosho
Lagos,WestCare Specialist Hospital,"32, Samuel street, Akowonjo ,Egbeda"
Oyo,BetaLife Hospital - Agbowo,6 Adegbite St Agbowo opposite University of Ibadan
Lagos,Life Fount Medical and Diagnostic centre Ltd,Igando
Rivers,HEALTHCREST SPECIALIST  HOSPITAL,Port Harcourt
Lagos,Good Shepherd Catholic Hospital,Ikorodu
Lagos,Aruna Ogun Memorial Specialist Hospital,Ikorodu
Lagos,"CarePoint Hospital, Egbeda (Shefi Hospital)","7/9 Ogunlana street,off Akowonjo Road, Egbeda"
Benue,MOUNT ZION GATE HOSPITAL,OTUKPO
Benue,TBT HOSPITAL,GBOKO
Kaduna,FIRST CARE MULTISPECIALIST HOSPITAL (HEAD  OFFICE),"5. Alkali Road, Kaduna"
Osun,Emmanuel Specialist Hospital,E 27 Adeleke Obeyemi street
Lagos,Marien Hospital,Yaba
Lagos,Omni Medical Centre,"18, BOYLE STREET,ONIKAN, LAGOS"
Rivers,NEW MILE ONE HOSPITAL,Port-harcourt
Abuja (FCT),FONTANA MEDICAL CENTRE AND CHILDRENS HOSPITAL,GWARIMPA
Lagos,Periscope Hospital,Isheri-Olofin
Rivers,GBEYE HOSPITAL( OMOKU),OGBA EGBEMA NDONI/ OMOKU
Abuja (FCT),ROYAL ORTHOPAEDIC HOSPITAL,"7B Tema street, Wuse zone 6 Abuja"
Lagos,Cedar Care Hospital,"Ogombo Road, off Abraham Adesanya Roundabout, Ajah, Lagos State."
Ogun,Tor Dominion Medical Centre & Diagnostic Ltd,"KM2, Dominion Avenue, off ijoko Expressway, Beside Veevee Company,Sango ota, ogun state"
Kaduna,EPSILON SPECIALIST HOSPITAL,Barnawa
Rivers,TIM-GRACE CLINIC AND MATERNITY,Port-harcourt
Rivers,ST. PETERS CLINIC ( BONNY),19 New layout  Bonny River State
Oyo,Adeoye Hospital,Ibadan
Lagos,Blossom Hospital,"8, Martins street, Igbo-elerin, OJO, Lagos"
Lagos,FIRST HERITAGE MEDICARE SERVICES LTD. (FIRST HERITAGE HOSPITAL),"29/33, AYANTUGA STREET, OLORUNSOGO B/STOP, MUSHIN, LAGOS."
Delta,RAPHA SPECIALIST CHILDREN AND GENERAL CLINIC,85 AIRPORT ROAD EFFURUN DELTA STATE
Lagos,TrueCare Model Hospital,Epe
Lagos,Dee Goodnews Hospital,Orofun Bus stop
Delta,Kings Clinic - Warri,Warri
Delta,Celian Clinic,Ugheli
Lagos,STEVANS MEDICAL CENTRE,Ikorodu
Lagos,ALAFIAT HOSPITAL,Ketu
Lagos,The BrookHaven Hospital,"38B AJANAKU STREET OFF SALVATION ROAD, OPEBI"
Gombe,MADI MEMORIAL HOSPITAL,Gombe
Sokoto,CALIPHATE MULTISPECIALTY HOSPITAL,SOKOTO
Kwara,OLAOLU HOSPITAL,"173, MURTALA MUHAMMAD WAY, INDUSTRIAL AREA, ILORIN"
Kwara,ANCHORMED HOSPITAL,Tanke
